number,sampleID,site,plot,treatment,year,transect,field_moist_weight_g,conversion_factor,dry_weight_effective_g,sampleID_full,PlateID_NH4,ABS 1_NH4,ABS 2_NH4,ABS 3_NH4,ppm 1_curve1_NH4,ppm 2_curve1_NH4,ppm 3_curve1_NH4,average_ppm_NH4,R2_curve1,ug_g_NH4,,PlateID_NO3,ABS 1_NO3,ABS 2_NO3,ABS 3_NO3,ppm 1_curve2_NO3,ppm 2_curve2_NO3,ppm 3_curve2_NO3,average_ppm_NO3,R2_curve2_NO3,ug_g_NO3
73,25A,LK,25,SU,2024,A,9.96,0.98652695,9.825808422,2024-25-A,2025_02_14_NH4_Plate4_REDO_Targeted_Grazing,0.059,0.058,0.057,0.223639272,0.171679686,0.119720099,0.171679686,0.9964,0.000873616,,2025_03_08_NO3_Plate4_Targeted_Grazing,0.144,0.15,0.143,0.584889682,0.648029168,0.574366435,0.602428428,0.9976,0.003065541
74,25B,LK,25,SU,2024,B,9.99,0.98548148,9.844959985,2024-25-B,2025_02_14_NH4_Plate4_REDO_Targeted_Grazing,0.059,0.056,0.06,0.223639272,0.067760513,0.275598859,0.188999548,0.9964,0.00095988,,2025_03_08_NO3_Plate4_Targeted_Grazing,0.199,0.205,0.198,1.163668303,1.226807789,1.153145055,1.181207049,0.9976,0.005999044
75,25C,LK,25,SU,2024,C,10.01,0.98523767,9.862229077,2024-25-C,2025_02_14_NH4_Plate4_REDO_Targeted_Grazing,0.059,0.059,0.056,0.223639272,0.223639272,0.067760513,0.171679686,0.9964,0.00087039,,2025_03_08_NO3_Plate4_Targeted_Grazing,0.239,0.24,0.216,1.584598208,1.595121456,1.342563513,1.507427726,0.9976,0.007642429
76,26A,LK,26,SU,2024,A,9.97,0.96503013,9.621350396,2024-26-A,2025_02_14_NH4_Plate4_REDO_Targeted_Grazing,0.064,0.064,0.063,0.483437205,0.483437205,0.431477618,0.466117343,0.9964,0.002422307,,2025_03_08_NO3_Plate4_Targeted_Grazing,0.258,0.377,0.243,1.784539914,3.036806383,1.626691199,2.149345832,0.9976,0.011169668
77,26B,LK,26,SU,2024,B,9.96,0.97252314,9.686330474,2024-26-B,2025_02_14_NH4_Plate4_REDO_Targeted_Grazing,0.062,0.064,0.065,0.379518032,0.483437205,0.535396791,0.466117343,0.9964,0.002406057,,2025_03_08_NO3_Plate4_Targeted_Grazing,0.202,0.197,0.193,1.195238046,1.142621807,1.100528817,1.146129557,0.9976,0.005916222
78,26C,LK,26,SU,2024,C,10.02,0.96913935,9.710776287,2024-26-C,2025_02_14_NH4_Plate4_REDO_Targeted_Grazing,0.055,0.058,0.058,0.015800926,0.171679686,0.171679686,0.119720099,0.9964,0.000616429,,2025_03_08_NO3_Plate4_Targeted_Grazing,0.276,0.251,0.253,1.973958371,1.71087718,1.731923675,1.805586409,0.9976,0.009296818
79,27A,LK,27,SU,2024,A,9.97,0.96680984,9.639094105,2024-27-A,2025_02_14_NH4_Plate4_REDO_Targeted_Grazing,0.069,0.065,0.068,0.743235137,0.535396791,0.691275551,0.656635826,0.9964,0.003406108,,2025_03_08_NO3_Plate4_Targeted_Grazing,0.288,0.248,0.267,2.100237343,1.679307437,1.879249142,1.886264641,0.9976,0.00978445
80,27B,LK,27,SU,2024,B,9.98,0.97119906,9.692566619,2024-27-B,2025_02_14_NH4_Plate4_REDO_Targeted_Grazing,0.079,0.08,0.088,1.262831002,1.314790589,1.730467281,1.436029624,0.9964,0.007407891,,2025_03_08_NO3_Plate4_Targeted_Grazing,0.418,0.421,0.416,3.468259537,3.49982928,3.447213041,3.471767286,0.9976,0.017909432
81,27C,LK,27,SU,2024,C,10.05,0.97145047,9.763077224,2024-27-C,2025_02_14_NH4_Plate4_REDO_Targeted_Grazing,0.067,0.065,0.068,0.639315964,0.535396791,0.691275551,0.621996102,0.9964,0.003185451,,2025_03_08_NO3_Plate4_Targeted_Grazing,0.341,0.361,0.344,2.657969468,2.868434421,2.689539211,2.7386477,0.9976,0.014025535
82,28A,LK,28,SU,2024,A,10.03,0.97860701,9.81542831,2024-28-A,2025_02_14_NH4_Plate4_REDO_Targeted_Grazing,0.069,0.064,0.062,0.743235137,0.483437205,0.379518032,0.535396791,0.9964,0.002727323,,2025_03_08_NO3_Plate4_Targeted_Grazing,0.194,0.205,0.203,1.111052065,1.226807789,1.205761293,1.181207049,0.9976,0.006017094
83,28B,LK,28,SU,2024,B,10,0.97240276,9.7240276,2024-28-B,2025_02_14_NH4_Plate4_REDO_Targeted_Grazing,0.064,0.07,0.065,0.483437205,0.795194724,0.535396791,0.60467624,0.9964,0.003109186,,2025_03_08_NO3_Plate4_Targeted_Grazing,0.236,0.23,0.232,1.553028466,1.48988898,1.510935475,1.517950973,0.9976,0.007805156
84,28C,LK,28,SU,2024,C,9.97,0.9803005,9.773595985,2024-28-C,2025_02_14_NH4_Plate4_REDO_Targeted_Grazing,0.059,0.059,0.059,0.223639272,0.223639272,0.223639272,0.223639272,0.9964,0.001144099,,2025_03_08_NO3_Plate4_Targeted_Grazing,0.185,0.172,0.17,1.016342836,0.879540616,0.858494121,0.918125858,0.9976,0.004696971
85,29A,LK,29,FA,2024,A,10.02,0.97944602,9.81404912,2024-29-A,2025_02_14_NH4_Plate4_REDO_Targeted_Grazing,0.072,0.072,0.069,0.899113897,0.899113897,0.743235137,0.84715431,0.9964,0.004316028,,2025_03_08_NO3_Plate4_Targeted_Grazing,0.352,0.342,0.356,2.773725192,2.668492716,2.815818183,2.752678697,0.9976,0.014024174
86,29B,LK,29,FA,2024,B,10.04,0.97856315,9.824774026,2024-29-B,2025_02_14_NH4_Plate4_REDO_Targeted_Grazing,0.066,0.065,0.067,0.587356378,0.535396791,0.639315964,0.587356378,0.9964,0.00298916,,2025_03_08_NO3_Plate4_Targeted_Grazing,0.183,0.181,0.193,0.99529634,0.974249845,1.100528817,1.023358334,0.9976,0.00520805
87,29C,LK,29,FA,2024,C,10.03,0.9797093,9.826484279,2024-29-C,2025_02_14_NH4_Plate4_REDO_Targeted_Grazing,0.067,0.067,0.075,0.639315964,0.639315964,1.054992656,0.777874862,0.9964,0.003958053,,2025_03_08_NO3_Plate4_Targeted_Grazing,0.226,0.2,0.199,1.447795989,1.17419155,1.163668303,1.261885281,0.9976,0.006420838
88,30A,LK,30,FA,2024,A,10.01,0.97860904,9.79587649,2024-30-A,2025_02_14_NH4_Plate4_REDO_Targeted_Grazing,0.064,0.061,0.067,0.483437205,0.327558445,0.639315964,0.483437205,0.9964,0.002467555,,2025_03_08_NO3_Plate4_Targeted_Grazing,0.238,0.231,0.229,1.574074961,1.500412227,1.479365732,1.517950973,0.9976,0.007747908
89,30B,LK,30,FA,2024,B,10.02,0.98407485,9.860429997,2024-30-B,2025_02_14_NH4_Plate4_REDO_Targeted_Grazing,0.061,0.069,0.067,0.327558445,0.743235137,0.639315964,0.570036516,0.9964,0.002890526,,2025_03_08_NO3_Plate4_Targeted_Grazing,0.14,0.147,0.133,0.542796692,0.616459425,0.469133958,0.542796692,0.9976,0.002752399
90,30C,LK,30,FA,2024,C,10.02,0.98837449,9.90351239,2024-30-C,2025_02_14_NH4_Plate4_REDO_Targeted_Grazing,0.054,0.056,0.054,0,0.067760513,0,0.022586838,0.9964,0.000114034,,2025_03_08_NO3_Plate4_Targeted_Grazing,0.129,0.131,0.124,0.427040968,0.448087463,0.374424729,0.41651772,0.9976,0.002102879
91,31A,LK,31,FA,2024,A,10,0.99014398,9.9014398,2024-31-A,2025_02_14_NH4_Plate4_REDO_Targeted_Grazing,0.058,0.059,0.07,0.171679686,0.223639272,0.795194724,0.396837894,0.9964,0.00200394,,2025_03_08_NO3_Plate4_Targeted_Grazing,0.226,0.213,0.204,1.447795989,1.31099377,1.216284541,1.325024767,0.9976,0.006691071
92,31B,LK,31,FA,2024,B,9.98,0.98980392,9.878243122,2024-31-B,2025_02_14_NH4_Plate4_REDO_Targeted_Grazing,0.061,0.062,0.088,0.327558445,0.379518032,1.730467281,0.812514586,0.9964,0.004112647,,2025_03_08_NO3_Plate4_Targeted_Grazing,0.226,0.218,0.212,1.447795989,1.363610008,1.300470522,1.370625506,0.9976,0.006937598
93,31C,LK,31,FA,2024,C,9.95,0.99000761,9.85057572,2024-31-C,2025_02_14_NH4_Plate4_REDO_Targeted_Grazing,0.061,0.067,0.078,0.327558445,0.639315964,1.210871416,0.725915275,0.9964,0.003684634,,2025_03_08_NO3_Plate4_Targeted_Grazing,0.18,0.173,0.173,0.963726598,0.890063864,0.890063864,0.914618109,0.9976,0.00464246
94,32A,LK,32,FA,2024,A,10,0.9872291,9.872291,2024-32-A,2025_02_14_NH4_Plate4_REDO_Targeted_Grazing,0.06,0.059,0.058,0.275598859,0.223639272,0.171679686,0.223639272,0.9964,0.001132661,,2025_03_08_NO3_Plate4_Targeted_Grazing,0.191,0.183,0.178,1.079482322,0.99529634,0.942680102,1.005819588,0.9976,0.005094155
95,32B,LK,32,FA,2024,B,10.03,0.98795181,9.909156654,2024-32-B,2025_02_14_NH4_Plate4_REDO_Targeted_Grazing,0.172,0.066,0.059,6.095072548,0.587356378,0.223639272,2.302022733,0.9964,0.011615634,,2025_03_08_NO3_Plate4_Targeted_Grazing,0.231,0.232,0.218,1.500412227,1.510935475,1.363610008,1.458319237,0.9976,0.007358443
96,32C,LK,32,FA,2024,C,9.96,0.98788234,9.839308106,2024-32-C,2025_02_14_NH4_Plate4_REDO_Targeted_Grazing,0.061,0.07,0.061,0.327558445,0.795194724,0.327558445,0.483437205,0.9964,0.002456663,,2025_03_08_NO3_Plate4_Targeted_Grazing,0.173,0.176,0.166,0.890063864,0.921633607,0.816401131,0.876032867,0.9976,0.0044517
,,,,,,,,,,,,,,,,min NH4,0,,,0,,,,,,,min NO3,0.374424729,,,0.002102879
,,,,,,,,,,,,,,,,max NH4,6.095072548,,,0.022131499,,,,,,,max NO3,5.010299941,,,0.025199977
