Sample_id,Site,Plot,Treatment,Year,Transect,Date_collected,SOM_crucible_g,SOM_crucible_and_sample_g,SOM_crucible_post_105_g,Moisture_correction,dry_to_wet_ratio,NMin_sample_g,dry_NMin_sample_g,NO3_Sample_ID,NO3_ABS_1,NO3_ABS_2,NO3_ABS_3,NO3_ppm1_stcurv1,NO3_ppm2_stcurv1,NO3_ppm3_stcurv1,NO3_ppm_avg_stcurv1,NO3_ppm1_stcurv2,NO3_ppm2_stcurv2,NO3_ppm3_stcurv2,NO3_ppm_avg_stcurv2,NO3_ppm1_stcurv3,NO3_ppm2_stcurv3,NO3_ppm3_stcurv3,NO3_ppm_avg_stcurv3,NO3_plate#,mg_NO3_per_g_stcurv1,mg_NO3_per_g_stcurv2,mg_NO3_per_g_stcurv3,,NH4_Sample_ID,NH4_ABS_1,NH4_ABS_2,NH4_ABS_3,NH4_ppm1_stcurv1,NH4_ppm2_stcurv1,NH4_ppm3_stcurv1,NH4_ppm_avg_stcurv1,NH4_ppm1_stcurv2,NH4_ppm2_stcurv2,NH4_ppm3_stcurv2,NH4_ppm_avg_stcurv2,NH4_ppm1_stcurv3,NH4_ppm2_stcurv3,NH4_ppm3_stcurv3,NH4_ppm_avg_stcurv3,NH4_plate#,mg_NH4_per_g_stcurv1,mg_NH4_per_g_stcurv2,mg_NH4_per_g_stcurv3
14B,DC,14,FA,2022,B,,16.595,26.448,26.235,1.022095436,0.978382219,10.01,9.793606008,2022-14-B,0.198,0.219,0.203,2.095781586,2.656436533,2.229270859,2.327162993,2.019575238,2.559843774,2.148210604,2.242543205,2.045884771,2.593191526,2.176195903,2.2717574,plate2_20240207,0.011881032,0.011449017,0.011598166,,2022-14-B,0.254,0.264,0.262,0,0,0,0,0,0,0,0,0,0,0,0,plate7_20240130,0,0,0
14C,DC,14,FA,2022,C,7/19/22,16.06,25.89,25.679,1.021935752,0.978535097,10.04,9.82449237,2022-14-C,0.279,0.256,0.257,2.253835053,1.609882181,1.637880132,1.833865789,2.174435058,1.553167899,1.580179514,1.769260824,2.153920346,1.538514533,1.565271308,1.752568729,plate3_20240207,0.009333133,0.009004337,0.008919386,,2022-14-C,0.313,0.306,0.312,0.104383219,0.077484051,0.10054048,0.094135917,0.167122961,0.142301451,0.163577031,0.157667148,0.188815524,0.165646888,0.185505719,0.179989377,plate5_20240129,0.000479088,0.000802419,0.000916024
15A,DC,15,FA,2022,A,,15.933,25.773,25.574,1.020641012,0.979776423,10.02,9.817359756,2022-15-A,0.422,0.383,0.391,3.992032415,3.076213214,3.264073563,3.444106397,4.146789574,3.19546726,3.390610299,3.577622378,4.056445164,3.12584892,3.316740458,3.499678181,plate7_20240212,0.017540899,0.018220899,0.017823928,,2022-15-A,0.5,0.52,0.517,0.609036963,0.675870358,0.665845349,0.65025089,0.641468328,0.70125592,0.692287781,0.678337343,0.635024128,0.692218688,0.683639504,0.670294107,plate8_20240131,0.00331174,0.003454785,0.003413821
15B,DC,15,FA,2022,B,,15.664,26.266,26.035,1.022273648,0.978211658,10,9.782116582,2022-15-B,0.591,0.548,0.535,12.81215147,11.67388182,11.32975378,11.93859569,12.68343123,11.55659746,11.21592679,11.81865182,12.15688915,11.07683495,10.75030694,11.32801035,plate5_20240208,0.061022559,0.060409482,0.057901632,,2022-15-B,0.597,0.587,0.565,1.195720865,1.157293483,1.072753243,1.14192253,1.174167073,1.138707773,1.060697314,1.124524053,1.128800201,1.095702149,1.022886435,1.082462928,plate5_20240129,0.005836787,0.005747857,0.005532867
15C,DC,15,FA,2022,A,,14.716,24.478,24.3,1.018572621,0.981766032,10,9.817660316,2022-15-C,0.29,0.279,0.275,3.976036618,3.553462677,3.399799427,3.643099574,4.136442465,3.696820561,3.53695805,3.790073692,4.169239887,3.726132267,3.565002223,3.820124792,plate8_20240227,0.018553807,0.019302326,0.019455373,,2022-15-C,0.474,0.454,0.446,0.490029878,0.426292271,0.400797228,0.439039792,0.525527678,0.467093282,0.443719523,0.478780161,0.522419312,0.469549144,0.448401078,0.480123178,plate6_20240130,0.00223597,0.002438362,0.002445202
16A,DC,16,FA,2022,A,7/20/22,15.493,26.352,25.147,1.124818728,0.889032139,10,8.890321392,2022-16-A,0.208,0.193,0.191,0.825939974,0.249702783,0.172871157,0.416171305,0.859260995,0.25977658,0.179845325,0.432960967,0.866073986,0.261836321,0.181271299,0.436393869,plate8_20240227,0.002340586,0.002435013,0.00245432,,2022-16-A,0.525,0.529,0.521,0.652560776,0.665308297,0.639813254,0.652560776,0.674535388,0.686222267,0.662848509,0.674535388,0.657238238,0.667812271,0.646664205,0.657238238,plate6_20240130,0.003670063,0.00379365,0.003696369
16B,DC,16,FA,2022,B,7/20/22,14.47,24.53,24.318,1.021527214,0.978926441,10.03,9.818632207,2022-16-B,0.209,0.209,0.219,2.389457987,2.389457987,2.656436533,2.478450836,2.302573043,2.302573043,2.559843774,2.388329953,2.332569262,2.332569262,2.593191526,2.41944335,plate2_20240207,0.012621161,0.012162234,0.012320674,,2022-16-B,0.284,0.289,0.265,0,0,0,0,0,0.010709234,0,0.003569745,0.017322878,0.031621518,0,0.016314799,plate8_20240131,0,1.82E-05,8.31E-05
16C,DC,16,FA,2022,C,7/20/22,14.626,24.33,24.134,1.02061422,0.979802143,10.03,9.827415499,2022-16-C,0.307,0.317,0.309,5.005847738,5.272826284,5.059243448,5.112639157,4.823826206,5.081096937,4.875280353,4.926734499,4.886667448,5.147289712,4.938791901,4.990916353,plate2_20240207,0.026012125,0.025066278,0.025392823,,2022-16-C,0.223,0.211,0.229,0,0,0,0,0,0,0,0,0,0,0,0,plate8_20240131,0,0,0
17A,LK,17,SP,2022,A,7/13/22,14.718,24.222,23.969,1.027348395,0.97337963,10.03,9.762997685,2022-17-A,0.547,0.353,0.38,6.927350368,2.371736906,3.005765583,4.101617619,7.195899555,2.463680865,3.12228862,4.260623013,7.039125432,2.410005656,3.054264594,4.167798561,plate7_20240212,0.021005934,0.02182026,0.021344871,,2022-17-A,0.877,0.877,0.849,1.765888734,1.765888734,1.676642135,1.736139868,1.670799803,1.670799803,1.591546307,1.644381971,1.570832816,1.570832816,1.498305382,1.546657005,plate7_20240130,0.008891428,0.008421501,0.007921015
17B,LK,17,SP,2022,B,7/13/22,14.497,24.883,24.576,1.030459371,0.970440978,10.01,9.714114192,2022-17-B,0.335,0.271,0.256,5.70474819,3.246136176,2.669898985,3.87359445,5.934895711,3.377095539,2.777611124,4.029867458,5.981952882,3.403872179,2.799634514,4.061819858,plate8_20240227,0.019937971,0.020742331,0.020906795,,2022-17-B,0.429,0.426,0.415,0.346620262,0.337059621,0.302003937,0.328561273,0.394050286,0.385285127,0.353146209,0.377493874,0.403461435,0.39553091,0.366452318,0.388481555,plate6_20240130,0.001691154,0.001943017,0.001999573
17C,LK,17,SP,2022,C,7/13/22,14.63,23.981,23.714,1.029392338,0.971446904,10.08,9.792184793,2022-17-C,0.206,0.206,0.204,2.309364423,2.309364423,2.255968714,2.291565854,2.225391823,2.225391823,2.173937677,2.208240441,2.254382583,2.254382583,2.20225813,2.237007765,plate2_20240207,0.011700994,0.011275525,0.011422414,,2022-17-C,0.231,0.221,0.223,0,0,0,0,0,0,0,0,0,0,0,0,plate7_20240130,0,0,0
18A,LK,18,SP,2022,A,7/13/22,16.065,25.48,25.265,1.023369565,0.9771641,10.04,9.810727562,2022-18-A,0.234,0.24,0.228,3.056904352,3.21709148,2.896717225,3.056904352,2.94574987,3.100112309,2.791387431,2.94574987,2.984124921,3.14049828,2.827751563,2.984124921,plate2_20240207,0.015579397,0.015012902,0.015208479,,2022-18-A,0.24,0.25,0.237,0,0,0,0,0,0,0,0,0,0,0,0,plate8_20240131,0,0,0
18B,LK,18,SP,2022,B,7/13/22,15.935,24.614,24.388,1.02673607,0.973960134,10.05,9.788299343,2022-18-B,0.404,0.362,0.372,5.753578925,4.577664984,4.857644494,5.062962801,5.550887012,4.416399155,4.686515312,4.884600493,5.498517158,4.374732629,4.642300374,4.83851672,plate3_20240207,0.025862321,0.024951221,0.024715819,,2022-18-B,0.585,0.576,0.566,1.149608006,1.115023363,1.076595981,1.11374245,1.131615913,1.099702543,1.064243244,1.098520567,1.089082539,1.059294292,1.02619624,1.058191024,plate5_20240129,0.005689152,0.005611396,0.005405388
18C,LK,18,SP,2022,C,7/13/22,15.49,24.87,24.67,1.021786492,0.978678038,10.02,9.806353945,2022-18-C,0.665,0.488,0.367,9.698290515,5.541880294,2.700492516,5.980221108,10.07425938,5.756719644,2.805181182,6.212053401,9.854775604,5.631300345,2.744065846,6.076713932,plate7_20240212,0.030491563,0.031673614,0.030983554,,2022-18-C,0.317,0.504,0.338,0,0.585636288,0.05661415,0.214083479,0.066817668,0.613179272,0.128173784,0.269390241,0.107388499,0.601724562,0.162902175,0.290671745,plate6_20240130,0.001091555,0.001373549,0.001482058
19A,LK,19,SP,2022,A,7/14/22,16.306,25.88,25.658,1.023738238,0.9768122,10.05,9.816962607,2022-19-A,0.623,0.483,0.461,8.712023683,5.424467576,4.907851616,6.348114292,9.049758423,5.634755245,5.098111888,6.594208519,8.852595034,5.511993135,4.987041407,6.450543192,plate7_20240212,0.032332375,0.033585788,0.032854068,,2022-19-A,0.368,0.371,0.383,0.143513064,0.153075199,0.191323742,0.162637335,0.230084471,0.238575917,0.272541701,0.247067363,0.252387685,0.260158481,0.291241667,0.267929278,plate7_20240130,0.000828349,0.00125837,0.001364624
19B,LK,19,SP,2022,B,7/14/23,15.467,25.726,25.542,1.018263027,0.982064529,10.08,9.899210449,2022-19-B,0.328,0.314,0.286,0.706271839,0.294279933,0,0.333517257,0.81528076,0.339700317,0,0.384993692,0.921249392,0.383853913,0,0.435034435,plate6_20240209,0.001684565,0.001944568,0.002197319,,2022-19-B,0.364,0.347,0.349,0.300362866,0.235036317,0.242721793,0.259373659,0.34796539,0.28768458,0.29477644,0.310142137,0.357615589,0.301348901,0.307968511,0.322311,plate5_20240129,0.001310072,0.001566499,0.001627963
19C,LK,19,SP,2022,C,7/14/22,15.622,25.166,25.003,1.017375546,0.982921207,10.03,9.858699707,2022-19-C,0.344,0.271,0.293,1.177119732,0,0,0.392373244,1.358801266,0,0,0.452933755,1.535415653,0,0,0.511805218,plate6_20240209,0.001989985,0.002297127,0.002595703,,2022-19-C,0.312,0.325,0.314,0,0.024244761,0,0.008081587,0.079464965,0.1183269,0.085443724,0.094411863,0.097395262,0.134571726,0.103114718,0.111693902,plate8_20240131,4.10E-05,0.000478825,0.000566474
19C,LK,19,SP,2022,C,7/14/22,15.622,25.166,25.003,1.017375546,0.982921207,10.03,9.858699707,2022-19-C REDO NO3,0.271,0.257,0.259,4.544986973,4.055526837,4.125449714,4.241987841,5.098221586,4.549182339,4.627616517,4.758340147,5.063258094,4.517984146,4.595880424,4.725707555,plate9_20240227,0.021513932,0.024132696,0.023967195,,2022-19-C,0.312,0.325,0.314,0,0.024244761,0,0.008081587,0.079464965,0.1183269,0.085443724,0.094411863,0.097395262,0.134571726,0.103114718,0.111693902,plate8_20240131,4.10E-05,0.000478825,0.000566474
20A,LK,20,SP,2022,A,7/14/22,14.717,25.293,25.109,1.017705928,0.982602118,10.07,9.894803328,2022-20-A,0.365,0.349,0.375,6.857222572,6.242569569,7.2413807,6.780390947,7.133864542,6.494414499,7.533520819,7.053933286,7.190428212,6.545908036,7.593253321,7.10986319,plate8_20240227,0.034262384,0.035644636,0.035927259,,2022-20-A,0.542,0.534,0.539,0.706737741,0.681242699,0.6971771,0.695052514,0.724204625,0.700830866,0.715439465,0.713491652,0.70217788,0.681029813,0.694247355,0.692485016,plate6_20240130,0.00351221,0.003605386,0.003499236
20B,LK,20,SP,2022,B,7/14/23,15.932,25.587,25.393,1.020505232,0.979906784,10,9.79906784,2022-20-B,0.72,0.666,0.673,10.98983041,9.721773058,9.886150864,10.19925145,11.41586777,10.09865226,10.26940242,10.59464081,11.16715492,9.878637046,10.04566714,10.3638197,plate7_20240212,0.052041947,0.054059432,0.052881661,,2022-20-B,0.574,0.595,0.161,1.107337886,1.188035388,0,0.765124425,1.092610683,1.167075213,0,0.753228632,1.052674682,1.122180591,0,0.724951758,plate5_20240129,0.003904067,0.003843369,0.003699085
20C,LK,20,SP,2022,C,7/14/22,15.926,25.49,25.31,1.019181586,0.981179423,10,9.811794228,2022-20-C,0.468,0.432,0.455,5.072229422,4.226857851,4.766956355,4.688681209,5.268862047,4.390718373,4.951754609,4.87044501,5.154071502,4.295059585,4.843872755,4.764334614,plate7_20240212,0.023893088,0.024819339,0.024278611,,2022-20-C,0.506,0.488,0.488,0.592010049,0.534646203,0.534646203,0.553767485,0.619022712,0.566431755,0.566431755,0.583962074,0.607011579,0.559428429,0.559428429,0.575289479,plate6_20240130,0.002821948,0.002975817,0.002931622
21A,LK,21,FASP,2022,A,7/21/23,16.067,25.55,25.39,1.017161858,0.983127702,10.05,9.880433407,2022-21-A,0.283,0.266,0.248,3.707125928,3.054057112,2.362572483,3.041251841,3.856683072,3.177267401,2.457886103,3.163945525,3.88726231,3.202459624,2.477374426,3.18903212,plate8_20240227,0.015390275,0.016011168,0.016138119,,2022-21-A,0.315,0.307,0.303,0,0,0,0,0.060974228,0.03760047,0.025913591,0.041496096,0.102101482,0.080953415,0.070379382,0.084478093,plate6_20240130,0,0.000209991,0.000427502
21B,LK,21,FASP,2022,B,7/21/22,16.573,26.951,26.812,1.013575544,0.986606283,10.01,9.875928888,2022-21-B,0.359,0.31,0.287,4.493671131,3.121771534,2.477818661,3.364420442,4.335364308,3.011795143,2.390527983,3.245895811,4.294462306,2.983380356,2.367974542,3.215272401,plate3_20240207,0.017033438,0.01643337,0.016278329,,2022-21-B,0.509,0.486,0.457,0.857559904,0.769176926,0.657737518,0.761491449,0.862125235,0.780568846,0.677736877,0.773476986,0.837537344,0.761411824,0.665427473,0.754792214,plate5_20240129,0.00385529,0.003915971,0.003821373
21C,LK,21,FASP,2022,C,7/21/22,16.91,26.493,26.408,1.008949252,0.991130126,10.05,9.960857769,2022-21-C,0.473,0.338,0.36,5.87696625,3.155215157,3.598759779,4.210313729,5.570909861,2.990900148,3.411346175,3.991052061,5.339238687,2.866520942,3.269482352,3.82508066,plate4_20240207,0.021134293,0.020033677,0.019200559,,2022-21-C,0.424,0.379,0.392,0.530927158,0.358003939,0.407959536,0.432296878,0.560721188,0.401154339,0.447251429,0.469708985,0.556203901,0.407262667,0.450290135,0.471252235,plate5_20240129,0.002169978,0.002357774,0.00236552
22A,LK,22,FASP,2022,A,7/21/22,14.628,24.63,24.453,1.018015267,0.982303539,10.01,9.832858428,2022-22-A,0.625,0.399,0.411,8.75898877,3.451933912,3.733724435,5.314882372,9.098544183,3.585753338,3.878467896,5.520921805,8.900317919,3.507631995,3.7939693,5.400639738,plate7_20240212,0.027026131,0.02807384,0.027462206,,2022-22-A,0.621,0.603,0.611,0.949919831,0.892547017,0.918046046,0.920170965,0.946196414,0.895247738,0.917891594,0.919778582,0.907724852,0.861100073,0.881822197,0.883549041,plate7_20240130,0.004679061,0.004677066,0.004492839
22B,LK,22,FASP,2022,B,7/21/22,15.496,26.056,25.834,1.021474173,0.978977273,10.02,9.809352273,2022-22-B,0.308,0.257,0.242,0.117711973,0,0,0.039237324,0.135880127,0,0,0.045293376,0.153541565,0,0,0.051180522,plate6_20240209,0.0002,0.000230868,0.000260876,,2022-22-B,0.504,0.49,0.477,0.622403642,0.575620266,0.53217856,0.576734156,0.653425847,0.611574532,0.572712598,0.612570992,0.64646304,0.606426848,0.569250384,0.607380091,plate8_20240131,0.002939716,0.003122382,0.003095924
22B,LK,22,FASP,2022,B,7/21/22,15.496,26.056,25.834,1.021474173,0.978977273,10.02,9.809352273,2022-22-B REDO NO3,0.264,0.219,0.216,4.300256905,2.726992184,2.622107869,3.216452319,4.823701962,3.058932952,2.941281684,3.6079722,4.79062112,3.037954857,2.921110439,3.583228805,plate9_20240227,0.016394825,0.018390471,0.01826435,,2022-22-B,0.504,0.49,0.477,0.622403642,0.575620266,0.53217856,0.576734156,0.653425847,0.611574532,0.572712598,0.612570992,0.64646304,0.606426848,0.569250384,0.607380091,plate8_20240131,0.002939716,0.003122382,0.003095924
22C,LK,22,FASP,2022,C,7/21/22,14.496,24.334,24.127,1.021493095,0.978959138,10.02,9.809170563,2022-22-C,0.225,0.23,0.237,2.816623661,2.950112934,3.136997916,2.967911504,2.714206212,2.842841578,3.022931089,2.85999296,2.749564884,2.879876016,3.062311601,2.897250833,plate2_20240207,0.015128249,0.014578159,0.014768072,,2022-22-C,0.26,0.257,0.262,0,0,0,0,0,0,0,0,0,0,0,0,plate7_20240130,0,0,0
23A,LK,23,FASP,2022,A,,16.571,26.123,25.956,1.017794353,0.98251675,10.03,9.854643007,2022-23-A,0.209,0.209,0.211,2.389457987,2.389457987,2.442853696,2.407256557,2.302573043,2.302573043,2.540286974,2.38181102,2.332569262,2.332569262,2.384693715,2.349944079,plate2_20240207,0.012213819,0.012084715,0.01192303,,2022-23-A,0.248,0.234,0.245,0,0,0,0,0,0,0,0,0,0,0,0,plate8_20240131,0,0,0
23B,LK,23,FASP,2022,B,,14.61,24.13,24.011,1.012658228,0.9875,10,9.875,2022-23-B,0.302,0.288,0.293,0,0,0,0,0,0,0,0,0,0,0,0,plate6_20240209,0,0,0,,2022-23-B,0.314,0.298,0.315,0,0,0,0,0.085443724,0.037613651,0.088433104,0.070496826,0.103114718,0.05735907,0.105974446,0.088816078,plate8_20240131,0,0.000356946,0.000449702
23B,LK,23,FASP,2022,B,,14.61,24.13,24.011,1.012658228,0.9875,10,9.875,2022-23-B REDO NO3,0.274,0.254,0.252,4.649871287,3.950642522,3.880719646,4.160411152,5.215872854,4.431531071,4.353096893,4.666833606,5.180102512,4.401139728,4.32324345,4.634828563,plate9_20240227,0.021065373,0.023629537,0.023467486,,2022-23-B,0.314,0.298,0.315,0,0,0,0,0.085443724,0.037613651,0.088433104,0.070496826,0.103114718,0.05735907,0.105974446,0.088816078,plate8_20240131,0,0.000356946,0.000449702
23C,LK,23,FASP,2022,C,,15.931,25.634,25.475,1.016659681,0.983613315,10.01,9.845969288,2022-23-C,0.344,0.332,0.294,2.160394013,1.87860349,0.986266832,1.675088111,2.244144946,1.951430388,1.024500954,1.740025429,2.195252677,1.908915371,1.00218057,1.702116206,plate7_20240212,0.008506466,0.008836232,0.008643721,,2022-23-C,0.388,0.377,0.383,0.207260634,0.17219947,0.191323742,0.190261282,0.286694111,0.255558809,0.272541701,0.271598207,0.304192994,0.275700074,0.291241667,0.290378245,plate7_20240130,0.000966189,0.001379235,0.001474605
24A,LK,24,FASP,2022,A,,15.623,25.245,25.037,1.022094752,0.978382873,10.01,9.793612555,2022-24-A,0.482,0.327,0.268,5.400985032,1.761190771,0.375720698,2.512632167,5.610362365,1.829465989,0.390286078,2.610038144,5.488131692,1.789608161,0.381783074,2.553174309,plate7_20240212,0.012827913,0.013325206,0.013034895,,2022-24-A,0.388,0.395,0.379,0.207260634,0.229572284,0.178574227,0.205135715,0.286694111,0.306507485,0.261219773,0.284807123,0.304192994,0.322324853,0.280880605,0.302466151,plate7_20240130,0.001047293,0.001454045,0.001544201
24B,LK,24,FASP,2022,B,,15.914,25.56,25.357,1.021497405,0.978955007,10.05,9.838497823,2022-24-B,0.346,0.337,0.34,6.047064068,5.806783377,5.88687694,5.913574795,5.827182057,5.5956384,5.672819619,5.698546692,5.903094277,5.668534239,5.746720919,5.772783145,plate2_20240207,0.03005324,0.028960451,0.029337726,,2022-24-B,0.227,0.243,0.233,0,0,0,0,0,0,0,0,0,0,0,0,plate5_20240129,0,0,0
24C,LK,24,FASP,2022,C,7/11/22,15.204,24.919,24.717,1.021234101,0.979207411,10.03,9.821450335,2022-24-C,0.281,0.258,0.269,4.311703519,3.697652863,3.991329263,4.000228548,4.154922306,3.563199625,3.846197429,3.85477312,4.209049562,3.609618355,3.896302845,3.904990254,plate2_20240207,0.020364755,0.019624256,0.019879906,,2022-24-C,0.263,0.263,0.277,0,0,0,0,0,0,0,0,0,0,0,0,plate8_20240131,0,0,0
25A,LK,25,SU,2022,A,7/19/22,16.914,26.473,26.337,1.014432771,0.98577257,10.04,9.897156606,2022-25-A,0.307,0.273,0.267,4.629105434,3.322967801,3.092472925,3.681515387,4.815858136,3.457026795,3.217233029,3.83003932,4.854042574,3.484437201,3.242742135,3.860407303,plate8_20240227,0.018598854,0.01934919,0.019502608,,2022-25-A,0.309,0.312,0.31,0,0,0,0,0.043443909,0.052209069,0.046365629,0.047339536,0.086240432,0.094170957,0.088883941,0.08976511,plate6_20240130,0,0.000239157,0.000453489
25B,LK,25,SU,2022,B,7/19/23,15.493,24.917,24.79,1.013660321,0.986523769,10,9.865237691,2022-25-B,0.378,0.348,0.343,2.177671504,1.294831705,1.147691739,1.540064983,2.513782342,1.494681393,1.324831234,1.77776499,2.840518959,1.688957219,1.497030262,2.00883548,plate6_20240209,0.007805514,0.009010249,0.010181384,,2022-25-B,0.321,0.322,0.337,0.135125124,0.138967862,0.196608935,0.156900641,0.195490401,0.199036331,0.25222528,0.215584004,0.215293966,0.218603771,0.268250849,0.234049528,plate5_20240129,0.00079522,0.001092645,0.001186234
25C,LK,25,SU,2022,C,7/19/22,14.629,24.324,24.193,1.013697198,0.98648788,10.01,9.874743682,2022-25-C,0.286,0.233,0.244,3.822373367,1.786335292,2.208909232,2.60587263,3.976579955,1.858401687,2.390867901,2.741949848,4.008109843,1.873136761,2.316244382,2.732496995,plate8_20240227,0.013194634,0.013883651,0.013835787,,2022-25-C,0.36,0.361,0.364,0.126725518,0.129912398,0.139473039,0.132036985,0.19245162,0.195373339,0.204138499,0.197321153,0.221059359,0.223702867,0.231633392,0.225465206,plate6_20240130,0.000668559,0.00099912,0.001141626
26A,LK,26,SU,2022,A,7/19/22,14.497,23.843,23.542,1.033278054,0.967793709,10.03,9.706970897,2022-26-A,0.262,0.224,0.245,0,0,0,0,0,0,0,0,0,0,0,0,plate6_20240209,0,0,0,,2022-26-A,0.449,0.443,0.429,0.438611807,0.418561789,0.371778413,0.40965067,0.489009969,0.471073692,0.429222377,0.463102013,0.489178,0.472019631,0.431983439,0.46439369,plate8_20240131,0.002110085,0.00238541,0.002392063
26A,LK,26,SU,2022,A,7/19/22,14.497,23.843,23.542,1.033278054,0.967793709,10.03,9.706970897,2022-26-A REDO NO3,0.231,0.209,0.201,3.146529443,2.377377801,2.097686295,2.54053118,3.529538021,2.666762061,0.644999489,2.28043319,3.505332527,2.648473465,2.336888351,2.830231448,plate9_20240227,0.013086117,0.011746369,0.014578345,,2022-26-A,0.449,0.443,0.429,0.438611807,0.418561789,0.371778413,0.40965067,0.489009969,0.471073692,0.429222377,0.463102013,0.489178,0.472019631,0.431983439,0.46439369,plate8_20240131,0.002110085,0.00238541,0.002392063
26B,LK,26,SU,2022,B,7/19/22,15.47,25.29,25.053,1.024731295,0.97586558,10.02,9.778173116,2022-26-B,0.394,0.343,0.319,3.334521194,2.136911469,1.573330422,2.348254362,3.463788938,2.219752066,1.63432295,2.439287985,3.388324784,2.171391235,1.598716623,2.386144214,plate7_20240212,0.012007633,0.012473127,0.01220138,,2022-26-B,0.465,0.463,0.48,0.452688781,0.446314024,0.500499459,0.466500754,0.504641224,0.49898026,0.547098454,0.516906646,0.503643437,0.498462906,0.542497419,0.51486792,plate7_20240130,0.002385419,0.002643166,0.002632741
26C,LK,26,SU,2022,C,7/19/22,15.657,25.37,25.111,1.027395811,0.973334706,10.05,9.782013796,2022-26-C,0.572,0.563,0.503,10.45723469,10.20525313,8.525376071,9.729287963,10.08883844,9.845733897,8.225036959,9.386536431,9.993655272,9.752844302,8.147437832,9.297979135,plate3_20240207,0.049730496,0.047978548,0.047525895,,2022-26-C,0.466,0.429,0.417,0.692322162,0.550140849,0.50402799,0.582163667,0.709650247,0.578450838,0.535899678,0.608000254,0.69521572,0.572752927,0.533035265,0.600334637,plate5_20240129,0.002975684,0.003107746,0.003068564
27A,LK,27,SU,2022,A,7/20/22,16.572,26.021,25.682,1.037211855,0.964123188,10,9.641231876,2022-27-A,0.268,0.256,0.258,3.130888737,2.669898985,2.74673061,2.849172777,3.257198656,2.777611124,2.85754238,2.964117387,3.283024646,2.799634514,2.880199536,2.987619565,plate8_20240227,0.014775979,0.015372088,0.015493972,,2022-27-A,0.306,0.297,0.29,0,0,0,0,0.03467875,0.008383272,0,0.014354007,0.078309907,0.054518332,0.036013773,0.056280671,plate6_20240130,0,7.44E-05,0.000291875
27B,LK,27,SU,2022,B,7/20/22,15.466,24.686,24.335,1.039576051,0.961930586,10.03,9.648163774,2022-27-B,0.538,0.54,0.448,6.886150432,6.945006418,4.237631035,6.022929295,7.948987406,8.01692747,4.891684558,6.952533144,8.982181573,9.058952356,5.527496353,7.856210094,plate6_20240209,0.031212827,0.036030344,0.040713499,,2022-27-B,0.519,0.496,0.499,0.624807221,0.551497515,0.561059651,0.579121462,0.657487251,0.592386166,0.600877612,0.61691701,0.643517773,0.583941667,0.591712463,0.606390634,plate7_20240130,0.0030012,0.00319707,0.003142518
27C,LK,27,SU,2022,C,7/20/22,15.169,24.726,24.456,1.029072898,0.971748457,10,9.717484566,2022-27-C,0.331,0.3,0.295,3.014087322,2.389092627,2.288287031,2.563822327,2.857121867,2.264675192,2.169119277,2.430305445,2.738305948,2.170496688,2.078914549,2.329239061,plate4_20240207,0.0131918,0.012504807,0.011984784,,2022-27-C,0.292,0.296,0.284,0.023685717,0.039056669,0,0.020914129,0.092658432,0.106842152,0.064290992,0.087930525,0.119309615,0.132548836,0.092831173,0.114896541,plate5_20240129,0.000107611,0.000452435,0.000591185
28A,LK,28,SU,2022,A,7/20/22,15.46,25.07,24.681,1.042186314,0.959521332,10,9.595213319,2022-28-A,0.229,0.223,0.215,2.923415079,2.763227952,2.549645115,2.745429382,2.817114505,2.662752066,2.456935481,2.645600684,2.85381379,2.697440431,2.48894262,2.680065614,plate2_20240207,0.014306245,0.013786044,0.013965639,,2022-28-A,0.334,0.253,0.26,0.185080721,0,0,0.061693574,0.24158749,0,0,0.080529163,0.258321433,0,0.013395848,0.090572427,plate5_20240129,0.000321481,0.000419632,0.000471967
28B,LK,28,SU,2022,B,7/20/22,15.207,25.01,24.779,1.024132888,0.976435785,10.05,9.813179639,2022-28-B,0.402,0.423,0.341,2.883943343,3.501931202,1.088835752,2.491570099,3.329063102,4.042433766,1.256891171,2.876129346,3.761768351,4.567861569,1.420259479,3.249963133,plate6_20240209,0.012695019,0.014654421,0.016559175,,2022-28-B,0.375,0.376,0.368,0.165824713,0.169012092,0.143513064,0.159449956,0.249897845,0.252728327,0.230084471,0.244236881,0.270519543,0.273109809,0.252387685,0.265339012,plate7_20240130,0.000812428,0.001244433,0.001351952
28C,LK,28,SU,2022,C,7/20/22,15.467,25.18,24.866,1.033407809,0.967672192,10.05,9.725105529,2022-28-C,0.476,0.372,0.401,5.260089771,2.817905234,3.498898999,3.858964668,5.464005086,2.927145582,3.634539097,4.008563255,5.34496304,2.863373057,3.555354879,3.921230325,plate7_20240212,0.01984022,0.020609356,0.020160348,,2022-28-C,0.47,0.413,0.415,0.477282356,0.295630176,0.302003937,0.35830549,0.513840799,0.34730277,0.353146209,0.404763259,0.511845278,0.361165302,0.366452318,0.413154299,plate6_20240130,0.001842168,0.002081022,0.002124164
29A,LK,29,FA,2022,A,7/18/22,15.463,24.922,24.737,1.019948242,0.980441907,10.04,9.843636748,2022-29-A,0.229,0.215,0.212,2.923415079,2.549645115,2.469551551,2.647537248,2.817114505,2.456935481,2.379754262,2.551268083,2.85381379,2.48894262,2.410755941,2.584504117,plate2_20240207,0.013447963,0.012958971,0.013127791,,2022-29-A,0.21,0.201,0.219,0,0,0,0,0,0,0,0,0,0,0,0,plate7_20240130,0,0,0
